id,name,logo_url,created_at
07736092-2e4e-483e-9ff9-b4d4bb11e3d2,CHAZZ,https://gustoraro.gr/wp-content/uploads/2025/03/chazz@2x.png,2026-03-28 11:13:55.130178+00
0de8aa84-9774-459b-ad9f-00a0d5be63b6,STELLA BERNRAIN,https://gustoraro.gr/wp-content/uploads/2024/01/stella-bernrain@2x.png,2026-03-28 11:13:55.130178+00
0ee85730-9884-4b24-b6c9-6d5080ae5492,CRACKZEL,https://gustoraro.gr/wp-content/uploads/2024/04/crackzel@2x.png,2026-03-28 11:13:55.130178+00
1bc5df54-d51d-4b8c-b980-31a58b007a88,SPECULHOUSE,https://gustoraro.gr/wp-content/uploads/2025/02/special-house@2x.png,2026-03-28 11:13:55.130178+00
22fbc4ca-5e6d-42f5-a8c6-9e01f3af6a0a,ZUEGG,https://gustoraro.gr/wp-content/uploads/2024/01/zuegg@2x.png,2026-03-28 11:13:55.130178+00
26305011-fb18-4d14-8131-ca90c84effdd,HEIDI,https://gustoraro.gr/wp-content/uploads/2024/01/heidi@2x-150x120.png,2026-03-28 11:13:55.130178+00
282adde8-74f2-4d3f-9b81-6cd9283b21e6,VERDUIJNS,https://gustoraro.gr/wp-content/uploads/2024/01/verduijns@2x.png,2026-03-28 11:13:55.130178+00
3135d0c8-a5a2-4b30-a244-e7acfc2b210a,BON VIVANT,https://bonvivantfrance.com/wp-content/uploads/2023/04/LOGO_BON_VIVANT_ROUGE_ROUGE-removebg-preview1.png,2026-03-28 11:13:55.130178+00
352188ec-2023-45b7-8cc7-24335c74b508,VECHIO MULINO,https://gustoraro.gr/wp-content/uploads/2024/01/grissini@2x.png,2026-03-28 11:13:55.130178+00
3b42cc64-07b5-4902-b414-4e42385eb1b2,BORGO DI MEDICI,https://gustoraro.gr/wp-content/uploads/2024/01/borgo-de-medici@2x.png,2026-03-28 11:13:55.130178+00
3f92dc56-2cae-4628-8c91-12c2a4f9a625,TARALLORO,https://gustoraro.gr/wp-content/uploads/2024/01/taralloro@2x.png,2026-03-28 11:13:55.130178+00
4532738d-655d-470b-9969-2e014947758a,mrs.BRIDGES,https://gustoraro.gr/wp-content/uploads/2024/01/bridges@2x.png,2026-03-28 11:13:55.130178+00
562c6438-70c0-4a85-a9e4-46e64bf70269,SALT ODYSSEY,"https://gustoraro.gr/wp-content/uploads/2024/01/salt-odyssey@2x.png
",2026-04-02 15:02:17.076182+00
5997354c-56f5-4caf-99b9-f414d1b4b48d,TREVIJANO,https://gustoraro.gr/wp-content/uploads/2024/01/trevijano@2x.png,2026-03-28 11:13:55.130178+00
6088c274-0b9e-45bc-be8f-3c87b729d8e5,BRUSA,https://gustoraro.gr/wp-content/uploads/2024/01/brusa@2x-150x120.png,2026-03-28 11:13:55.130178+00
649a8ee1-9a7c-4786-964d-4c7a0d6e9aab,PISCHINGER,https://gustoraro.gr/wp-content/uploads/2024/03/pischinger@2x.png,2026-03-28 11:13:55.130178+00
65a08055-48c6-48a8-9d5b-62e6bff93c88,XΙΩΤΙΚΟ ΚΕΛΑΡΙ,https://gustoraro.gr/wp-content/uploads/2024/01/xiotiko-kelari@2x.png,2026-03-28 11:13:55.130178+00
690367a3-6e11-483b-851d-960a0ad9b5a2,SIMPKINS,https://gustoraro.gr/wp-content/uploads/2024/04/simpkin.jpg,2026-03-28 11:13:55.130178+00
6aa4a064-1399-4973-a234-f8400a8cd735,NORDSALSE,https://gustoraro.gr/wp-content/uploads/2024/01/nord-salse@2x.png,2026-03-28 11:13:55.130178+00
6d11d26f-66a0-4544-a54a-8ccbe91bf9c1,BISCUITERIE DE PROVENCE,https://gustoraro.gr/wp-content/uploads/2024/04/lafrabrique@2x.png,2026-03-28 11:13:55.130178+00
86fb43d3-892f-45b2-87f8-58e15b16b0af,BELLI,https://gustoraro.gr/wp-content/uploads/2024/01/biseottijicio-belli@2x.png,2026-03-28 11:13:55.130178+00
8ffad53c-013c-4975-adc3-1b91f95e0236,KEOGHS,https://gustoraro.gr/wp-content/uploads/2024/01/keoghs@2x.png,2026-03-28 11:13:55.130178+00
93482f2c-4dc8-4078-a48b-c697ac77e2be,ZOTTER,https://gustoraro.gr/wp-content/uploads/2024/01/zotter@2x.png,2026-03-28 11:13:55.130178+00
a1039c89-4bd2-444d-9381-6e1d5b571731,MAMA IRINE,https://gustoraro.gr/wp-content/uploads/2025/03/mama-irene@2x.png,2026-03-28 11:13:55.130178+00
a59aed47-ea59-4c2d-97b8-8f569f130e98,GRANDMA WILDS,https://gustoraro.gr/wp-content/uploads/2024/01/grandma-wilds@2x.png,2026-03-28 11:13:55.130178+00
a983d3c9-afbd-46c4-8466-71fe58bcd2d6,SWEET BABY RAY'S,https://gustoraro.gr/wp-content/uploads/2024/01/sweetbabyrays@2x.png,2026-03-28 11:13:55.130178+00
ae785d8e-c001-496d-9ff7-10d6ca391097,GUDOBELE,https://gustoraro.gr/wp-content/uploads/2024/01/gudobele@2x.png,2026-03-28 11:13:55.130178+00
aff1644e-b4e6-46fd-a8f1-e778c070ba23,GOULIBEUR,https://gustoraro.gr/wp-content/uploads/2024/01/dalla-costa_2@2x.png,2026-03-28 11:13:55.130178+00
b0309b07-8c8c-4e6d-9b96-bca1e3ff7fb8,FARMHOUSE,https://gustoraro.gr/wp-content/uploads/2024/01/farmhouse-biscuits@2x.png,2026-03-28 11:13:55.130178+00
bce83caa-de22-42ad-8299-57f51ef0b785,HUNTERS,https://gustoraro.gr/wp-content/uploads/2024/01/hunter-foods@2x.png,2026-03-28 11:13:55.130178+00
c2676237-dcb2-4536-8828-fe8e49fb782e,COLLE DEL TARTUFO,https://gustoraro.gr/wp-content/uploads/2024/01/colle-del-tartufo@2x.png,2026-03-28 11:13:55.130178+00
cfcd9738-76bd-415f-a3e9-45e85dd862b0,MAJANI,https://gustoraro.gr/wp-content/uploads/2024/01/majani@2x.png,2026-03-28 11:13:55.130178+00
d7a1ee60-60b3-4546-9320-3f8af17b5fe2,LONG CHIPS,https://gustoraro.gr/wp-content/uploads/2024/01/long-chips@2x.png,2026-03-28 11:13:55.130178+00
db9d86cb-12da-4423-b9a7-c13bfdb11ea4,GAM'S PROTEIN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFgfsSRnMMfCvjJXp3g4aa9DdIhF73vsErcA&s,2026-04-01 11:37:42.928633+00
dc45aa5e-1eb5-4e29-9153-0022d5d96087,CUISINE PROVENCALE,https://gustoraro.gr/wp-content/uploads/2025/02/cuisine-provencale@2x.png,2026-03-28 11:13:55.130178+00
ebcaaa65-accd-47a0-bca9-3bd58534494e,RISI,https://gustoraro.gr/wp-content/uploads/2025/02/risi@2x.png,2026-03-28 11:13:55.130178+00
ed32b6a7-5c3f-4f86-b27c-501d17210226,DALLA COSTA,https://gustoraro.gr/wp-content/uploads/2024/01/dalla-costa@2x.png,2026-03-28 11:13:55.130178+00
